danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,mood
0.583,0.7,-4.969,0.211,0.4,0,0.183,0.553,103.072,194827,0
0.501,0.167,-14.061,0.0484,0.885,0,0.111,0.356,112.275,228443,0
0.765,0.473,-5.829,0.0514,0.287,0,0.391,0.34,119.992,237300,0
0.57,0.671,-8.421,0.0452,0.703,0.000423,0.106,0.233,144.108,185425,0
0.415,0.456,-7.315,0.106,0.934,0,0.49,0.72,181.452,100750,0
0.319,0.757,-6.117,0.0432,0.016,0,0.102,0.101,122.465,322173,0
0.462,0.154,-9.011,0.032,0.915,5.58E-06,0.163,0.194,138.436,171561,0
0.418,0.42,-6.444,0.0414,0.588,6.39E-05,0.11,0.184,84.094,172724,0
0.516,0.595,-4.63,0.0313,0.0275,0,0.109,0.222,119.972,340707,0
0.468,0.201,-17.024,0.0388,0.915,8.28E-05,0.0952,0.383,94.422,188800,0
0.575,0.318,-16.729,0.109,0.683,0.000202,0.0934,0.385,104.522,254173,0
0.551,0.537,-7.595,0.034,0.705,0,0.0802,0.493,126.421,196493,0
0.405,0.111,-11.879,0.0369,0.964,4.37E-05,0.0872,0.219,116.86,189475,0
0.778,0.422,-10.114,0.0482,0.921,0.00924,0.0958,0.187,120.033,176472,0
0.352,0.455,-9.077,0.0282,0.8,0.88,0.106,0.102,98.298,289973,0
0.666,0.677,-5.743,0.0326,0.214,0,0.0979,0.178,100.014,178242,0
0.62,0.574,-7.788,0.0479,0.569,0,0.19,0.357,100.023,250173,0
0.58,0.622,-7.759,0.035,0.0177,7.53E-05,0.0472,0.835,164.921,197818,0
0.358,0.557,-7.398,0.059,0.695,0,0.0902,0.494,85.043,211467,0
0.618,0.443,-9.681,0.0526,0.469,0,0.0829,0.167,119.949,198853,0
0.617,0.315,-7.998,0.0326,0.771,0,0.0809,0.447,119.822,227434,0
0.622,0.593,-8.352,0.0916,0.163,0,0.0979,0.607,94.364,249093,0
0.567,0.267,-13.758,0.0289,0.713,0.0548,0.106,0.0856,117.961,233808,0
0.519,0.503,-6.239,0.0442,0.215,0,0.148,0.364,89.174,197320,0
0.604,0.179,-15.383,0.0339,0.835,0,0.162,0.391,124.982,220520,0
0.418,0.248,-9.997,0.0451,0.954,4.21E-06,0.108,0.298,130.953,243007,0
0.688,0.53,-5.507,0.0333,0.443,0,0.0995,0.162,106.958,205687,0
0.261,0.434,-10.649,0.0333,0.752,0.00639,0.105,0.0921,117.291,225070,0
0.657,0.143,-12.501,0.0449,0.963,1.72E-05,0.0842,0.23,74.928,193362,0
0.907,0.371,-9.932,0.162,0.00847,0.00351,0.0918,0.287,139.957,198693,0
0.485,0.238,-14.938,0.0391,0.945,0.000538,0.108,0.039,159.983,263131,0
0.468,0.19,-11.138,0.0373,0.919,0,0.107,0.326,125.319,219536,0
0.428,0.064,-14.42,0.0374,0.929,0,0.0859,0.108,142.436,307000,0
0.615,0.419,-8.8,0.0395,0.0173,0.497,0.135,0.216,76.997,330773,0
0.331,0.235,-7.7,0.0299,0.918,0,0.137,0.218,171.232,204326,0
0.623,0.292,-12.26,0.0313,0.698,9.86E-06,0.121,0.161,118.007,210925,0
0.434,0.162,-14.841,0.0405,0.931,0.000154,0.103,0.241,134.492,216708,0
0.407,0.416,-8.915,0.174,0.656,0,0.0981,0.246,176.947,175467,0
0.381,0.288,-12.323,0.0337,0.843,0.00226,0.12,0.198,59.343,266960,0
0.515,0.43,-9.935,0.0369,0.0102,0.000141,0.129,0.104,91.841,238640,0
0.421,0.131,-18.435,0.0382,0.952,0.00453,0.109,0.12,137.446,291796,0
0.611,0.275,-10.644,0.028,0.808,0.911,0.403,0.552,94.116,251280,0
